,id,original_title,imdb_id,genre_ids,genres,rating,popularity,release_date,budget,revenue,runtime,status,title
119,732510,Meta,tt11141726,"[27, 18]","['Horror', 'Drama']",NR-Manual,0.82,2020-04-15,15000,0,9,Released,Meta
120,681022,Cowboys,tt6187134,[18],['Drama'],NR-Manual,18.635,2020-04-15,0,0,83,Released,Cowboys
121,689402,Soft,tt11589586,[18],['Drama'],NR-Manual,0.778,2020-04-10,0,0,7,Released,Soft
122,636793,City of Salt,tt8482492,[18],['Drama'],NR-Manual,1.244,2020-04-03,0,0,116,Released,City of Salt
123,688827,Lime,tt9072780,[18],['Drama'],R,0.6,2020-03-31,0,0,11,Released,Lime
124,683875,By Day's End,tt4693840,"[27, 10749]","['Horror', 'Romance']",NR,2.547,2020-03-17,0,0,74,Released,By Day's End
125,683333,Femme Folle,,[],[],NR-Manual,0.6,2020-03-13,15000,0,18,Released,Femme Folle
126,699732,Rapture in Blue,tt9694682,"[18, 27, 9648, 53]","['Drama', 'Horror', 'Mystery', 'Thriller']",NR,0.93,2020-03-12,0,0,49,Released,Rapture in Blue
127,732221,Yunior,tt14306368,[18],['Drama'],NR-Manual,0.6,2020-03-09,0,0,7,Released,Yunior
128,734882,Blocked,,"[35, 10402]","['Comedy', 'Music']",NR-Manual,0.6,2020-03-08,0,0,4,Released,Blocked
129,680880,Breaking Fast,tt9112712,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",NR-Manual,2.675,2020-03-07,0,0,90,Released,Breaking Fast
130,604031,Straight Up,tt8855960,"[35, 10749]","['Comedy', 'Romance']",NR-Manual,5.417,2020-02-28,0,16080,97,Released,Straight Up
131,647325,The Thing About Harry,tt11324534,"[10749, 10770, 35]","['Romance', 'TV Movie', 'Comedy']",PG-13,13.298,2020-02-15,0,0,85,Released,The Thing About Harry
132,732491,Go Crazy with Crazy,tt12604106,"[35, 18]","['Comedy', 'Drama']",NR-Manual,0.6,2020-02-12,5000,0,9,Released,Go Crazy with Crazy
133,554761,Falling,tt9143112,[18],['Drama'],NR-Manual,8.132,2020-01-31,0,9828,112,Released,Falling
134,770019,Male Shorts: International V3,,[18],['Drama'],NR-Manual,1.746,2020-01-28,0,0,0,Released,Male Shorts: International V3
135,663407,OCUPADO,,[27],['Horror'],NR-Manual,0.6,2020-01-27,0,0,5,Released,OCUPADO
136,681181,Innocent Boy,tt10143418,"[27, 37]","['Horror', 'Western']",NR-Manual,1.995,2020-01-24,40000,0,12,Released,Innocent Boy
137,654959,Dirty,tt10221140,"[18, 10749]","['Drama', 'Romance']",NR-Manual,0.6,2020-01-24,0,0,10,Released,Dirty
138,645426,Exit,tt8076930,[27],['Horror'],NR-Manual,1.294,2020-01-24,14000,0,80,Released,Exit
139,634544,Uncle Frank,tt11327514,[18],['Drama'],R,13.775,2020-01-23,0,0,95,Released,Uncle Frank
140,709840,Out in Love,tt11322452,[],[],NR-Manual,0.863,2020-01-01,0,0,15,Released,Out in Love
141,663300,City of Trees,tt11399518,[10749],['Romance'],NR-Manual,3.407,2019-12-23,0,0,87,Released,City of Trees
142,291984,The Death & Life of John F. Donovan,tt4042818,[18],['Drama'],R,12.342,2019-12-13,35000000,0,127,Released,The Death & Life of John F. Donovan
143,641543,Happy Endings Sleepover,tt10628006,[18],['Drama'],NR-Manual,3.496,2019-12-13,1750000,0,100,Released,Happy Endings Sleepover
144,537788,Daniel Isn't Real,tt8745960,"[27, 9648]","['Horror', 'Mystery']",NR,13.223,2019-12-06,0,0,100,Released,Daniel Isn't Real
145,606243,Season of Love,tt9887520,"[10749, 35]","['Romance', 'Comedy']",NR-Manual,7.68,2019-11-21,0,0,105,Released,Season of Love
146,295151,Let It Snow,tt1950235,"[10749, 35]","['Romance', 'Comedy']",PG-13,26.152,2019-11-08,0,0,93,Released,Let It Snow
147,657528,Deadly Screams of a Naked Siren,tt11011218,"[53, 35]","['Thriller', 'Comedy']",NR-Manual,2.299,2019-10-30,30000,0,78,Released,Deadly Screams of a Naked Siren
148,643924,The Latent Image,tt8366122,"[27, 53]","['Horror', 'Thriller']",NR-Manual,0.835,2019-10-30,0,0,21,Released,The Latent Image
149,636900,A Halloween Trick,tt11051998,[27],['Horror'],NR-Manual,1.604,2019-10-30,0,0,14,Released,A Halloween Trick
150,621742,The Obituary of Tunde Johnson,tt8815382,"[18, 53]","['Drama', 'Thriller']",NR,4.517,2019-10-24,0,0,104,Released,The Obituary of Tunde Johnson
151,475908,Carmilla,tt7280218,"[10749, 14, 18]","['Romance', 'Fantasy', 'Drama']",NR-Manual,4.004,2019-10-17,0,0,94,Released,Carmilla
152,641023,Unsound,tt6051918,[18],['Drama'],NR-Manual,1.484,2019-10-12,0,0,88,Released,Unsound
153,651993,This Is Me,,[],[],NR-Manual,0.6,2019-10-11,0,0,22,Released,This Is Me
154,737275,Apricot,tt11068040,[],[],NR-Manual,1.4,2019-09-30,0,0,10,Released,Apricot
155,633281,All Good Things,tt9886968,[18],['Drama'],NR-Manual,0.968,2019-09-27,0,0,13,Released,All Good Things
156,620629,Transparent: Musicale Finale,tt7291234,"[18, 35, 10402, 10770]","['Drama', 'Comedy', 'Music', 'TV Movie']",NR-Manual,4.456,2019-09-27,0,0,102,Released,Transparent: Musicale Finale
157,491283,Judy,tt7549996,"[18, 36, 10402]","['Drama', 'History', 'Music']",PG-13,19.152,2019-09-27,0,38981322,118,Released,Judy
158,854827,The Space Between Words,tt6617586,[18],['Drama'],NR-Manual,0.6,2019-09-21,35000,0,103,Released,The Space Between Words
159,632590,Ranchlands,tt11094064,[18],['Drama'],PG-13,2.381,2019-09-01,200000,0,69,Released,Ranchlands
160,633102,Faces,tt10274892,[18],['Drama'],NR-Manual,0.6,2019-08-30,0,0,12,Released,Faces
161,447034,Vita & Virginia,tt5859882,"[18, 10749]","['Drama', 'Romance']",NR,9.372,2019-08-23,0,0,110,Released,Vita & Virginia
162,486233,Adam,tt6316466,[35],['Comedy'],NR-Manual,4.077,2019-08-14,0,0,95,Released,Adam
163,754508,Backroad,,"[16, 9648]","['Animation', 'Mystery']",NR-Manual,0.6,2019-07-31,0,0,0,Released,Backroad
164,733580,Academic Super Squad,tt11686618,[35],['Comedy'],NR,0.6,2019-07-28,0,0,10,Released,Academic Super Squad
165,681527,Time & Again,tt9739378,[18],['Drama'],NR-Manual,0.609,2019-07-21,0,0,28,Released,Time & Again
166,616229,The Male Gaze: The Heat of the Night,tt10638354,[18],['Drama'],NR-Manual,3.937,2019-07-15,0,0,89,Released,The Male Gaze: The Heat of the Night
167,434714,My Days of Mercy,tt5978724,"[10749, 18]","['Romance', 'Drama']",R,8.039,2019-07-05,0,0,108,Released,My Days of Mercy
168,633388,The Handyman,tt9413640,[35],['Comedy'],NR-Manual,0.84,2019-06-29,0,0,8,Released,The Handyman
169,584828,Last Ferry,tt6378942,"[18, 53, 80]","['Drama', 'Thriller', 'Crime']",NR,3.065,2019-06-29,0,0,86,Released,Last Ferry
170,611968,Isha,tt7575134,[18],['Drama'],NR-Manual,0.689,2019-06-29,0,0,15,Released,Isha
